,SERIALNO,RELATE,OC,RC,SEX,SSPA,AGE,QTRBIR,HISPAN,RACEDET,GQTYP
44045,0019657,01,0,0,1,0,35,0,01,01,0
44046,0019657,02,0,0,2,0,31,2,01,59,0
44047,0019657,03,1,1,1,0,4,3,01,74,0
44048,0019657,03,1,1,1,0,2,0,01,74,0
44049,0019657,03,1,1,1,0,2,0,01,74,0
44050,0019658,01,0,0,1,0,46,1,01,01,0
44051,0019658,03,1,1,1,0,15,0,01,01,0
44052,0019659,01,0,0,2,0,47,3,01,02,0
44053,0019659,03,0,0,2,0,18,2,01,02,0
44054,0019660,01,0,0,2,0,29,1,01,01,0
44055,0019660,03,1,1,1,0,7,2,01,01,0
44056,0019660,03,1,1,2,0,6,3,01,01,0
44057,0019660,11,0,0,2,0,24,0,01,01,0
44058,0019660,12,0,0,2,0,25,0,01,01,0
44059,0019660,14,0,0,1,0,36,3,01,01,0
44060,0019661,01,0,0,1,0,73,2,01,01,0
44061,0019661,02,0,0,2,0,62,0,01,01,0
44062,0019662,01,0,0,2,0,66,3,01,01,0
44063,0019662,15,0,0,2,0,56,3,01,01,0
44064,0019663,01,0,0,1,0,43,1,01,01,0
44065,0019663,02,0,0,2,0,37,0,01,01,0
44066,0019663,05,1,1,2,0,9,3,01,01,0
44067,0019663,05,1,1,1,0,5,3,01,01,0
44068,0019664,01,0,0,1,0,75,3,01,01,0
44069,0019665,01,0,0,1,0,70,0,01,01,0
44070,0019665,02,0,0,2,0,67,3,01,01,0
44071,0019665,03,0,0,1,0,40,3,01,01,0
44072,0019666,01,0,0,2,0,44,2,01,01,0
44073,0019666,03,1,1,2,0,10,1,01,01,0
44074,0019667,16,0,0,1,0,48,0,01,02,1
44075,0019668,01,0,0,1,0,60,0,01,01,0
44076,0019668,02,0,0,2,0,58,2,01,01,0
44077,0019670,01,0,0,1,0,52,3,01,01,0
44078,0019671,01,0,0,2,0,24,1,01,01,0
44079,0019672,01,0,0,1,0,45,1,13,01,0
44080,0019672,02,0,0,2,0,42,3,01,01,0
44081,0019672,03,1,1,1,0,12,3,01,01,0
44082,0019672,03,1,1,1,0,9,1,01,01,0
44083,0019673,01,0,0,1,0,61,0,01,02,0
44084,0019673,02,0,0,2,0,57,0,01,02,0
44085,0019673,03,1,1,1,0,15,0,01,02,0
44086,0019673,11,0,0,2,0,44,2,01,02,0
44087,0019674,01,0,0,2,0,45,0,01,02,0
44088,0019674,03,0,0,2,0,19,2,01,02,0
44089,0019675,01,0,0,2,0,58,0,01,02,0
44090,0019675,02,0,0,1,0,54,2,01,02,0
44091,0019676,01,0,0,1,0,44,3,01,01,0
44092,0019676,02,0,0,2,0,43,2,01,01,0
44093,0019676,03,1,1,2,0,9,0,01,01,0
44094,0019676,03,1,1,1,0,7,2,01,01,0
44095,0019677,01,0,0,2,0,59,2,01,01,0
44096,0019678,01,0,0,1,0,45,1,01,01,0
44097,0019678,02,0,0,2,0,43,0,01,01,0
44098,0019678,03,0,0,1,0,20,3,01,01,0
44099,0019678,03,0,0,1,0,19,3,01,01,0
44100,0019678,03,1,1,2,0,16,1,01,01,0
44101,0019679,01,0,0,1,0,53,0,01,01,0
44102,0019679,02,0,0,2,0,50,0,01,01,0
44103,0019679,03,0,0,2,0,25,1,01,01,0
44104,0019679,03,0,0,2,0,21,1,01,01,0
44105,0019679,03,0,0,1,0,19,2,01,01,0
44106,0019679,03,1,1,1,0,17,1,01,01,0
44107,0019679,03,1,1,2,0,16,0,01,01,0
44108,0019679,15,0,0,2,0,20,1,01,02,0
44109,0019680,01,0,0,2,0,38,0,01,01,0
44110,0019680,02,0,0,1,0,44,0,01,01,0
44111,0019681,17,0,0,2,0,15,3,01,01,2
44112,0019682,01,0,0,2,0,49,0,01,02,0
44113,0019683,01,0,0,1,0,42,2,01,01,0
44114,0019683,02,0,0,2,0,41,0,01,01,0
44115,0019683,03,1,1,1,0,12,3,01,01,0
44116,0019683,03,1,1,2,0,9,0,01,01,0
44117,0019684,01,0,0,1,0,55,3,01,01,0
44118,0019684,02,0,0,2,0,54,3,01,01,0
44119,0019684,03,0,0,1,0,25,3,01,01,0
44120,0019685,01,0,0,2,0,36,2,01,01,0
44121,0019685,02,0,0,1,0,39,3,01,01,0
44122,0019685,03,1,1,2,0,7,2,01,01,0
44123,0019685,03,1,1,1,0,4,2,01,01,0
44124,0019685,07,0,0,2,0,61,1,01,01,0
44125,0019686,01,0,0,1,0,29,1,01,01,0
44126,0019686,02,0,0,2,0,30,3,01,01,0
44127,0019686,03,1,1,1,0,2,2,01,01,0
44128,0019686,03,1,1,1,0,0,1,01,01,0
44129,0019687,01,0,0,1,0,61,1,01,01,0
44130,0019687,02,0,0,2,0,63,3,01,01,0
44131,0019688,01,0,0,1,0,56,0,01,01,0
44132,0019688,02,0,0,2,0,67,0,01,01,0
44133,0019689,01,0,0,2,0,43,3,01,01,0
44134,0019689,02,0,0,1,0,39,1,01,01,0
44135,0019689,03,0,0,1,0,18,0,01,01,0
44136,0019689,03,1,1,1,0,14,0,01,01,0
44137,0019689,03,1,1,1,0,13,0,01,01,0
44138,0019690,01,0,0,1,0,54,2,01,01,0
44139,0019691,01,0,0,1,0,47,0,01,02,0
44140,0019691,02,0,0,2,0,41,1,01,02,0
44141,0019691,03,1,1,1,0,14,1,01,02,0
44142,0019691,03,1,1,2,0,13,3,01,02,0
44143,0019691,03,1,1,2,0,2,0,01,02,0
44144,0019691,11,0,0,2,0,61,1,01,02,0
44145,0019691,13,0,0,1,0,45,2,01,02,0
44146,0019692,01,0,0,2,0,48,3,01,02,0
44147,0019692,06,0,0,2,0,58,1,01,02,0
44148,0019693,01,0,0,2,0,33,2,01,01,0
44149,0019693,02,0,0,1,0,37,1,01,02,0
44150,0019693,03,1,1,2,0,0,3,01,74,0
44151,0019694,01,0,0,1,0,41,1,01,01,0
44152,0019694,02,0,0,2,0,37,1,01,01,0
44153,0019694,03,1,1,2,0,16,0,01,01,0
44154,0019694,03,1,1,1,0,11,1,01,01,0
44155,0019695,01,0,0,1,0,45,0,01,45,0
44156,0019695,03,1,1,2,0,14,0,01,45,0
44157,0019695,03,1,1,1,0,11,2,01,45,0
44158,0019695,14,0,0,2,0,37,1,01,59,0
44159,0019695,15,0,0,1,0,38,2,01,59,0
44160,0019696,01,0,0,1,0,39,1,01,01,0
44161,0019696,02,0,0,2,0,38,2,01,01,0
44162,0019696,03,1,1,2,0,2,0,01,01,0
44163,0019697,01,0,0,2,0,52,3,01,02,0
44164,0019698,01,0,0,2,0,64,0,01,02,0
44165,0019698,08,0,0,2,0,27,3,01,02,0
44166,0019698,08,0,0,2,0,21,2,01,02,0
44167,0019699,01,0,0,1,0,62,2,01,01,0
44168,0019700,01,0,0,2,0,39,3,01,01,0
44169,0019700,02,0,0,1,0,44,3,01,01,0
44170,0019700,03,1,1,2,0,9,0,01,01,0
44171,0019700,03,1,1,2,0,6,2,01,01,0
44172,0019700,03,1,1,1,0,1,1,01,01,0
44173,0019701,01,0,0,1,0,64,1,01,02,0
44174,0019701,02,0,0,2,0,57,1,01,02,0
44175,0019702,01,0,0,1,0,69,1,01,01,0
44176,0019702,02,0,0,2,0,71,0,01,01,0
44177,0019703,01,0,0,2,0,48,2,01,02,0
44178,0019703,03,1,1,1,0,14,0,01,02,0
44179,0019703,03,1,1,1,0,11,3,01,02,0
44180,0019704,01,0,0,1,0,34,1,01,01,0
44181,0019704,02,0,0,2,0,36,3,01,01,0
44182,0019704,03,1,1,2,0,12,0,01,01,0
44183,0019704,03,1,1,2,0,10,1,01,01,0
44184,0019704,03,1,1,1,0,4,3,01,01,0
44185,0019704,05,1,1,1,0,10,0,01,01,0
44186,0019705,01,0,0,1,0,50,0,01,01,0
44187,0019705,02,0,0,2,0,49,3,01,01,0
44188,0019705,03,0,0,1,0,21,3,01,01,0
44189,0019705,15,0,0,2,0,20,1,01,01,0
44190,0019706,01,0,0,1,0,59,2,01,01,0
44191,0019706,02,0,0,2,0,58,3,01,01,0
44192,0019706,03,0,0,2,0,26,1,01,01,0
44193,0019707,01,0,0,1,0,66,3,01,02,0
44194,0019707,02,0,0,2,0,63,1,01,02,0
44195,0019708,01,0,0,1,0,70,1,01,02,0
44196,0019708,02,0,0,2,0,63,1,01,02,0
44197,0019708,03,0,0,1,0,22,2,01,02,0
44198,0019709,01,0,0,1,0,34,2,01,02,0
44199,0019709,02,0,0,2,0,34,0,01,02,0
44200,0019709,03,1,1,1,0,13,3,01,02,0
44201,0019709,03,1,1,2,0,7,3,01,02,0
44202,0019710,01,0,0,1,0,79,0,01,01,0
44203,0019710,02,0,0,2,0,70,2,01,01,0
44204,0019711,01,0,0,1,0,31,0,01,02,0
44205,0019711,02,0,0,2,0,32,3,01,02,0
44206,0019711,03,1,1,1,0,0,1,01,02,0
44207,0019712,01,0,0,1,0,39,2,03,01,0
44208,0019712,02,0,0,2,0,39,3,01,02,0
44209,0019712,05,0,0,1,0,21,3,01,74,0
